epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.968,1.62748,2.4765,1.30154,0.01293,0.60664,0.26537,0.17356,1.13906,3.03832,1.00746,0.000466993,0.000466993,0.000466993
2,699.148,1.32979,1.35686,1.07653,0.90699,0.31325,0.42441,0.26436,1.23706,1.89972,1.05137,0.000756548,0.000756548,0.000756548
3,1088.33,1.27634,1.17143,1.05167,0.65667,0.5689,0.6001,0.38311,1.10524,1.16665,1.01847,0.000857475,0.000857475,0.000857475
4,1457.76,1.19695,1.06233,1.02132,0.8354,0.60569,0.67256,0.44294,1.03482,1.06102,0.98498,0.000580174,0.000580174,0.000580174
5,1825.46,1.15464,0.96992,1.01148,0.69485,0.67665,0.69164,0.47071,0.96791,0.8997,0.9638,0.000297232,0.000297232,0.000297232
