epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.148,1.67921,2.80187,1.40632,0.00938,0.43818,0.11304,0.08011,1.14641,3.29924,1.03984,0.000466993,0.000466993,0.000466993
2,1320.7,1.31543,1.51629,1.1072,0.57994,0.20106,0.28227,0.17741,1.23342,2.43546,1.10086,0.000849937,0.000849937,0.000849937
3,1619.55,1.2744,1.33883,1.08594,0.42986,0.39497,0.39956,0.2427,1.2095,1.67758,1.07914,0.00113857,0.00113857,0.00113857
